Corpus,Amount,Duplicates
160138141,2,211192546 160138141
30366543,2,851446 30366543
27923107,2,195678035 27923107
117666171,2,117666171 120877271
201016654,2,73135521 201016654
109375195,2,109375195 111340491
149368714,2,149368714 149095404
196778181,2,196893170 196778181
19322386,2,19322386 7419051
196606637,2,196606637 11326455
35387555,2,110209377 35387555
112440892,2,112440892 15685102
2176140,2,158135915 2176140
20585856,2,20585856 30631820
45694599,2,153512751 45694599
24392483,2,24392483 38586757
91777121,2,91777121 128360308
196912637,2,196912637 95863775
21434700,2,204151802 21434700
22179394,2,22179394 42707645
52815666,2,52815666 49294493
116885467,2,116885467 84099998
54562529,2,54562529 3877660
124073872,2,124073872 118180939
128570773,2,210073133 128570773
5156409,2,5156409 209713355
157144636,2,157144636 156250239
19144722,2,19144722 19850975
93921217,2,93921217 98474735
32945335,2,137155430 32945335
201061709,2,95672050 201061709
97305483,2,97305483 12762134
145847198,2,81983206 145847198
24692724,2,42830163 24692724
101681936,2,101681936 101191852
132477427,2,129592016 132477427
110882797,2,110882797 212727078
54825861,2,54825861 204485647
77611960,2,77611960 40726085
8883185,2,8883185 208306644
161213372,2,163723392 161213372
44365157,2,54276172 44365157
96614210,2,111295768 96614210
138463986,2,138463986 122618022
124234681,5,189863091 189863096 189862940 124234681 119275815
95557965,2,197164352 95557965
4347271,2,22529839 4347271
151686673,2,151686673 194957754
80399184,2,80399184 46829273
150613498,2,150613498 159271037
30963085,2,585281 30963085
52172927,2,145999042 52172927
34352833,2,34352833 208512035
4446979,2,8785714 4446979
198729226,2,198729226 198609094
209435912,2,209435912 56170299
148643699,2,28132561 148643699
36703577,2,36703577 196976214
195022224,2,195022224 191407327
8463106,2,8463106 147264467
21409691,2,21409691 90390731
57798171,2,57798171 57163053
72682911,2,201152256 72682911
141827505,2,141827505 40997211
189829326,2,45079185 189829326
62741557,2,211724553 62741557
56102863,2,139362202 56102863
73126792,2,9170448 73126792
25336260,2,25223282 25336260
212726393,2,212726393 209496234
195867462,2,57680771 195867462
203797344,2,203797344 19893120
39911378,2,39911378 45703949
203175839,2,153875353 203175839
65334265,2,65334265 67013215
88423303,2,85883160 88423303
208623433,2,208623433 98684316
46308056,2,46308056 44760021
57213865,2,57213865 30615511
78242396,2,11899177 78242396
38317597,2,90347042 38317597
5989773,2,54362968 5989773
57296632,2,57296632 32573777
121213439,2,121895035 121213439
30791578,2,30791578 203283419
46059253,2,46059253 9057710
208582956,2,204970001 208582956
196936262,2,93224882 196936262
147745691,2,147745691 185879501
53100027,2,53100027 211049206
9101156,2,197065736 9101156
42386891,2,42386891 83613662
108891878,2,25465946 108891878
126366447,2,117900253 126366447
196660873,2,196660873 52285503
13491693,2,2455772 13491693
114262874,2,114262874 133689780
32610587,2,73321496 32610587
13103015,2,14864450 13103015
18012140,2,143963816 18012140
58995364,2,58995364 24345564
62577674,2,111026666 62577674
51606030,2,83168824 51606030
23517715,2,11743113 23517715
166681118,2,107573395 166681118
38849053,3,211192546 38849053 29573454
55524348,2,35296017 55524348
92729927,2,86707555 92729927
123554525,2,135553899 123554525
21610986,2,21610986 4397235
43495583,2,116854539 43495583
84538067,2,7384954 84538067
62104864,2,62104864 28383527
2340730,2,2340730 34045271
30087774,2,205173938 30087774
45539088,2,45539088 35890191
199658097,2,199658097 198171875
142168318,2,143327187 142168318
21601191,2,73096499 21601191
70577388,2,27906128 70577388
1783497,2,1783497 123970701
38954655,2,8717966 38954655
94221086,2,197141401 94221086
103782638,2,95765001 103782638
129030194,2,129030194 164083591
97473134,2,97475643 97473134
40937245,2,196250360 40937245
44950185,2,29982704 44950185
97191554,2,97191554 197212455
45434982,2,45434982 70394655
53273016,2,53273016 54238630
36395662,2,2129136 36395662
47553650,2,47553650 22507556
197169160,2,197169160 196720380
45028127,2,11414474 45028127
17382757,2,17382757 128596751
157247808,2,157247808 157695365
137734212,2,138759450 137734212
189820628,2,168171570 189820628
46270009,2,46270009 72355173
97709399,2,95679433 97709399
53244524,2,8994460 53244524
197058942,2,196781233 197058942
143780171,2,201839761 143780171
137743114,2,137743114 136486806
73957899,2,73957899 71957373
15422577,2,15422577 4434331
209602553,2,209602553 2012371
197383425,2,197383425 5566997
35602466,2,35602466 158
30168407,2,78812346 30168407
125253580,2,120352193 125253580
208765527,2,208760900 208765527
13513458,2,13513458 12209766
197254446,2,35933308 197254446
38410364,2,73197505 38410364
77225129,2,77225129 7552412
24808849,2,189905824 24808849
86662084,2,72598936 86662084
210870429,2,210860283 210870429
120851410,2,120851410 117477047
196972433,2,196972433 196818639
45067055,2,1137726 45067055
787516,2,39012308 787516
110147017,2,208809689 110147017
6326026,2,147443784 6326026
208068085,2,41265833 208068085
68162044,2,68162044 78760437
4772267,2,4770905 4772267
8043940,2,8043940 6381047
21789401,2,21789401 213971146
197191973,2,197191973 98354062
4833294,2,54551334 4833294
62230297,2,62230297 195431
20779228,2,71664171 20779228
35418989,2,35418989 198160127
2472372,2,57955465 2472372
129427857,2,129427857 53486262
162124567,2,161780339 162124567
8933188,2,22891618 8933188
197111489,2,197111489 196790803
189836773,2,120968833 189836773
34710409,2,34710409 122562438
51687979,2,51687979 125918221
5187320,2,5187320 197066610
210600064,2,210600064 54089501
21482939,2,31400761 21482939
108892531,2,108892531 135252374
45564635,2,45564635 5726468
120669854,2,120669854 120567286
97480304,2,97480304 197028815
101062537,2,197092912 101062537
197383891,2,197383891 197398758
118593740,2,118689489 118593740
196895706,2,101601760 196895706
166510600,2,166510600 168719577
94921536,2,94921536 197000254
212417034,2,91810153 212417034
3048800,2,3048800 58728835
195674246,2,207860294 195674246
41045788,2,84929864 41045788
8439355,2,54321377 8439355
42778304,2,42778304 197870714
12475776,2,12475776 196680937
89857387,2,90707896 89857387
76941498,2,76941498 429959
214952164,2,571065 214952164
196933175,2,196748187 196933175
58725553,2,58725553 116802009
196664853,2,53711522 196664853
7889326,2,85005964 7889326
149673128,2,149673128 145809656
23721337,2,197120193 23721337
189913312,2,59789344 189913312
141933723,2,141912842 141933723
130879219,2,130879219 166070507
138668691,2,138668691 202208406
155734794,2,155734794 155663846
94899290,2,94899290 197219774
51649486,2,51649486 51657230
70628572,2,70628572 208477021
5482435,2,5482435 195862814
196928154,2,196928154 23112046
10200097,2,10200097 20616227
27183508,2,27183508 11059908
59008034,2,77716056 59008034
94883824,2,94883824 196928437
3557413,2,30557516 3557413
61021859,2,17687026 61021859
88629877,2,41796306 88629877
197373066,2,20939392 197373066
136839780,2,136839780 137689991
197117779,2,197117779 96053119
139852132,3,100227992 139852132 100492202
152044956,2,149275411 152044956
431447,2,40036622 431447
8291142,2,60718446 8291142
196396062,2,196396062 23258815
109072180,2,194134242 109072180
94775066,2,94775066 104467053
23042156,2,35123564 23042156
128871121,2,128871121 62616234
7542019,2,7542019 18596070
98672132,2,108567673 98672132
51633304,2,51652264 51633304
12309108,2,53489580 12309108
203655873,2,203655873 209322319
162311728,2,162311728 161427518
54422020,2,54428386 54422020
72966712,2,72966712 25319667
196767673,2,196767673 197150660
122900025,2,122900025 126411669
128644305,2,128644305 109941967
13597706,2,13597706 196315114
196749047,2,197104788 196749047
122245926,2,122245926 124963607
92285126,2,95330430 92285126
42678252,2,107810553 42678252
16910200,2,16910200 122534467
58976781,2,130006476 58976781
73249655,2,30200286 73249655
124731533,2,123037429 124731533
156213904,2,156213904 167320551
196730586,2,196730586 197099766
195867271,2,62149588 195867271
42495751,2,84851162 42495751
32711961,2,32711961 80460729
169046841,2,169046841 211331437
196783492,2,196944281 196783492
39175913,2,39175913 9559227
197301114,2,197301114 95623837
203044123,2,203044123 124859525
73098629,2,31519195 73098629
132502420,2,132502420 104294479
133157544,2,133157544 134676692
40903625,2,40903625 2571466
210041804,2,209383883 210041804
96069077,2,95938515 96069077
80380193,2,80380193 31960442
97538611,2,97538611 196958863
197441594,2,9275265 197441594
143271381,2,146796034 143271381
24368257,2,24368257 196588543
197261530,2,197261530 95468578
13936912,2,13936912 195681046
195188460,2,211192546 195188460
157996226,2,157996226 157430679
167682199,2,167682199 41621167
190670720,2,190670720 163761330
207895382,2,209417320 207895382
197200350,2,41817795 197200350
29186284,2,29186284 77892909
195268760,2,195268760 195137197
72677253,2,45482380 72677253
52096235,2,12705793 52096235
173182019,2,126186866 173182019
19483021,2,19483021 82034582
33765810,2,33765810 29783203
38954516,2,38954516 38486111
166876088,2,166876088 190972082
188828136,2,188828136 185473293
23428080,2,23428080 54601650
45648757,2,24725921 45648757
53184670,2,53191449 53184670
